customerId,recommendedProducts
2581,226|247|230|125|294|204|248|155|276|72
2590,226|247|230|125|294|204|248|155|276|72
2615,226|247|230|125|294|204|248|155|276|72
2624,226|247|230|125|294|248|204|155|276|72
2626,226|247|230|125|294|248|204|155|276|213
2654,226|247|230|125|294|248|204|155|276|72
2670,226|247|230|125|294|204|248|155|276|72
2715,226|247|230|125|294|204|248|155|276|72
2724,226|247|230|125|294|248|204|155|276|72
2770,226|247|230|125|294|248|204|155|276|213
2815,226|247|230|125|294|204|248|155|276|72
2819,226|247|230|125|294|204|248|155|276|72
2831,226|247|230|125|294|248|204|155|276|72
2833,226|247|230|125|294|248|204|155|276|72
2842,226|247|230|125|294|204|248|155|276|72
2865,226|247|230|125|294|204|248|155|276|213
2878,226|247|230|125|294|204|248|155|276|72
2892,226|247|230|125|294|204|248|155|72|276
2914,226|247|230|125|294|204|248|155|276|72
2977,226|247|230|125|294|204|248|155|276|213
2978,226|230|125|294|248|204|155|276|72|213
2993,226|247|230|125|294|204|248|155|276|72
3003,226|247|230|125|294|248|204|155|276|72
3012,226|247|230|125|294|204|248|155|276|72
3018,226|247|230|125|294|204|248|155|276|72
3020,226|247|230|125|294|204|248|155|276|213
3026,226|247|230|125|294|204|248|155|276|72
3045,226|247|230|125|294|204|248|155|276|213
3087,226|247|230|125|294|204|155|276|213|83
3115,226|247|230|125|294|248|204|155|276|72
3171,226|247|230|125|294|248|204|155|276|72
3196,226|247|230|125|294|204|248|155|276|72
3223,226|247|230|125|294|204|248|155|276|72
3230,226|247|230|125|294|248|204|155|276|72
3240,226|247|230|125|294|204|248|155|276|72
3257,226|247|230|125|294|204|248|155|276|72
3272,226|247|230|125|294|248|204|155|276|72
3300,226|247|230|125|294|248|204|155|276|72
3341,226|247|230|125|294|248|204|155|276|72
3348,226|247|230|125|294|248|204|155|276|72
3369,226|247|230|125|294|204|248|155|276|72
3386,226|247|230|125|294|248|204|155|276|72
3399,226|247|230|125|294|204|248|155|276|72
3431,226|247|230|125|294|248|204|155|276|72
3444,226|247|230|125|294|204|248|155|276|72
3549,226|247|230|125|294|204|248|155|276|213
3557,226|247|230|125|294|204|248|155|276|72
3593,226|247|230|125|294|204|248|155|276|72
3609,226|247|230|125|294|204|248|155|276|72
3645,226|247|230|125|294|204|248|155|276|72
3651,226|247|230|125|294|204|248|155|276|72
3699,226|247|230|125|294|248|204|155|276|72
3709,226|247|230|125|294|204|248|155|276|72
3716,226|247|230|125|294|204|248|155|276|72
3731,226|247|230|125|294|204|248|155|276|72
3762,226|247|230|125|294|204|248|155|276|72
3768,226|247|230|125|294|204|248|155|276|72
3769,226|247|230|125|294|248|204|155|276|72
3773,226|247|230|125|294|204|248|155|276|72
3775,226|247|230|125|294|248|204|155|276|72
3797,226|247|230|125|204|248|155|276|72|213
3800,226|247|230|125|294|204|248|155|276|72
3843,226|247|230|125|294|248|204|155|276|72
3851,226|247|230|125|294|248|204|155|276|72
3865,226|247|230|125|294|248|204|155|276|72
3879,226|247|230|125|294|248|204|155|276|213
3891,226|247|230|125|294|204|248|155|276|72
3899,226|247|230|125|294|204|248|155|276|72
3955,226|247|230|125|294|248|204|155|276|72
3978,226|247|230|125|294|204|248|276|72|213
3984,226|247|230|125|294|204|248|155|276|213
4007,226|247|230|125|294|204|248|155|276|72
4070,226|247|230|125|294|204|248|155|276|72
4087,226|247|230|125|294|204|248|155|276|72
4118,226|247|230|125|294|204|248|155|276|72
4152,226|247|230|125|294|204|248|155|276|72
4175,226|247|230|294|204|248|155|276|72|213
4207,226|247|230|125|294|248|204|155|276|72
4233,226|247|230|125|294|204|248|155|276|72
4269,226|247|230|125|294|204|248|155|276|72
4271,226|247|230|125|294|248|204|155|276|72
4339,226|247|230|125|294|248|204|155|276|72
4392,226|247|230|125|294|204|248|155|276|213
4405,226|247|230|125|294|204|248|155|276|72
4407,226|247|230|125|294|204|248|155|276|72
4418,226|247|230|125|294|204|248|155|276|72
4442,226|247|230|125|294|204|248|155|276|72
4449,226|247|230|125|294|204|248|155|276|72
4476,226|247|230|125|294|204|248|155|276|72
4516,226|247|230|125|294|204|248|155|276|72
4524,226|247|230|125|294|204|248|155|276|72
4527,226|247|230|125|294|204|248|155|276|72
4537,226|247|230|125|294|204|248|155|276|72
4564,226|247|230|125|294|248|204|155|276|72
4589,226|247|230|125|294|204|248|155|276|213
4608,226|247|230|125|294|204|248|155|276|72
4613,226|247|230|125|294|204|248|155|276|213
4618,226|247|230|125|294|204|248|155|276|213
4657,226|247|230|125|294|204|248|155|276|72
4659,226|247|230|125|294|204|248|155|276|72
4671,226|247|230|125|294|204|248|155|276|72
4717,226|247|230|125|294|204|248|155|276|72
4757,226|247|230|125|294|204|248|155|276|72
4776,226|247|230|125|294|248|204|155|276|72
4799,226|247|230|125|294|204|248|155|276|72
4800,226|247|230|125|294|204|248|155|276|72
4823,226|247|230|125|294|204|248|155|276|72
4848,226|247|230|125|294|204|248|155|276|72
4851,226|247|230|125|294|248|204|155|72|213
4871,226|247|230|125|294|204|248|155|72|276
4950,226|247|230|125|294|204|248|155|276|72
5001,226|247|230|125|294|204|248|155|276|72
5022,226|247|230|125|294|248|204|155|276|213
5065,226|247|230|125|294|204|248|155|276|72
5092,226|247|230|125|294|248|204|155|276|72
5095,226|247|230|125|294|248|155|276|72|213
5113,226|247|230|125|294|204|248|155|276|72
5118,226|247|230|125|294|204|248|155|276|72
5127,226|247|230|125|294|248|204|155|276|72
5193,226|247|230|125|294|204|248|155|276|72
5199,226|247|230|125|294|248|204|155|276|72
5200,226|247|230|125|294|204|248|155|276|72
5220,226|247|230|125|294|248|204|155|276|72
5242,226|247|230|294|204|248|155|276|72|213
5264,226|247|230|125|294|204|248|155|72|276
5273,226|247|230|125|294|204|248|155|72|213
5347,226|247|230|125|294|204|248|155|276|72
5361,226|247|230|125|294|204|248|155|276|213
5365,226|247|230|125|294|204|248|155|276|72
5368,226|247|230|125|294|248|204|155|276|72
5418,226|247|230|125|294|204|248|155|276|72
5430,226|247|230|125|294|204|248|155|276|72
5459,226|247|230|294|248|204|155|276|72|213
5461,226|247|230|125|294|204|248|155|276|72
5501,226|247|230|125|294|204|248|155|276|72
5512,226|247|230|125|294|204|248|155|276|72
5513,226|247|230|125|294|204|248|155|276|72
5522,247|230|125|294|204|248|155|276|72|213
5524,226|247|230|125|294|204|248|155|276|72
5527,226|247|230|125|294|204|248|155|276|72
5555,226|247|230|125|294|248|204|155|276|72
5562,226|247|230|125|294|204|248|155|276|72
5570,226|247|125|294|248|204|155|276|72|213
5581,226|247|230|125|294|204|248|155|276|72
5648,226|247|230|125|294|204|248|155|276|72
5666,226|247|230|125|294|248|204|155|276|72
5684,226|247|230|125|294|204|248|155|276|72
5751,226|247|230|125|294|204|248|155|276|72
5774,226|247|230|125|294|248|155|276|72|213
5891,226|247|230|125|294|248|204|155|276|72
5926,226|247|230|125|294|248|204|155|276|72
5940,226|247|230|125|294|204|248|155|276|72
5957,226|247|230|125|294|204|248|155|276|72
6010,226|247|230|125|294|204|248|155|276|72
6016,226|247|230|125|294|204|248|155|276|72
6030,226|247|230|125|294|204|248|155|276|72
6032,226|247|230|125|294|204|248|155|276|72
6132,226|247|230|125|294|204|248|155|276|72
6145,226|247|230|125|294|204|248|155|276|72
6158,226|247|230|125|294|204|248|72|155|276
6166,226|247|230|125|294|248|204|155|276|72
6167,226|247|230|125|294|248|204|155|276|72
6182,226|247|230|125|294|204|248|155|276|72
6220,226|247|230|125|294|204|248|155|276|72
6258,226|247|230|125|294|204|248|155|276|72
6269,226|247|230|125|294|204|248|155|276|72
6294,226|247|230|125|294|204|248|155|276|72
6297,226|247|230|125|294|204|248|155|276|72
6313,226|247|230|125|294|204|248|155|276|72
6323,226|247|230|125|294|204|248|155|276|72
6326,226|247|230|125|294|204|248|155|276|72
6334,226|247|230|125|294|204|248|155|276|72
6337,226|247|230|125|294|204|248|155|276|72
6344,226|247|230|125|294|248|204|155|276|72
6345,226|247|230|125|294|248|204|155|276|72
6346,226|247|230|125|294|204|248|155|276|213
6385,226|247|230|125|294|248|204|155|276|72
6394,226|247|230|125|294|204|248|155|276|72
6395,226|247|230|125|294|204|248|155|276|72
6427,226|247|230|125|294|204|248|155|276|72
6430,226|247|230|125|294|204|248|155|276|72
6443,226|247|230|125|294|204|248|155|276|72
6455,226|247|230|125|294|204|248|155|276|72
6560,226|247|230|125|294|204|248|155|276|72
6577,226|247|230|125|294|248|204|155|276|72
6591,226|247|230|125|294|248|204|155|276|72
6646,226|247|230|125|294|248|204|155|276|72
6649,226|247|230|125|294|204|248|155|276|72
6655,226|247|230|125|294|204|248|155|276|72
6657,226|247|230|125|294|204|248|155|276|72
6665,226|247|230|125|294|204|248|155|276|72
6680,226|247|230|125|294|204|248|155|276|72
6701,226|247|230|125|294|204|248|155|72|276
6730,226|247|230|125|294|248|204|155|276|72
6769,226|247|230|125|294|204|248|155|276|72
6774,226|247|230|125|294|248|204|155|276|72
6777,226|247|230|125|294|204|248|155|276|72
6782,226|247|230|125|294|248|204|155|72|276
6787,226|247|230|125|294|248|204|155|276|72
6795,226|247|230|125|294|248|204|155|276|72
6799,226|247|230|125|294|204|248|155|276|72
6803,226|247|230|125|294|204|248|155|276|72
6827,226|247|230|125|294|204|248|155|276|72
6829,226|247|230|125|294|204|248|155|276|72
6834,226|247|230|125|294|204|248|155|276|72
6851,226|247|230|125|294|204|248|155|276|72
6878,226|247|230|125|248|204|155|276|72|213
6884,226|247|230|125|294|248|204|155|276|72
6917,226|247|230|125|294|204|248|155|276|72
6961,226|247|230|125|294|204|248|155|276|72
6967,226|247|230|125|294|204|248|155|276|72
6975,226|247|230|125|294|248|204|155|72|276
6977,226|247|230|125|294|248|204|155|276|72
6997,226|247|230|294|204|248|155|276|72|213
7005,226|247|230|125|294|248|204|155|276|72
7011,226|247|230|125|294|204|248|155|276|72
7034,226|247|230|294|204|248|155|276|72|213
7041,226|247|230|125|294|204|248|155|276|72
7062,226|247|230|125|294|204|248|155|276|72
7065,247|230|125|294|248|204|155|276|72|213
7096,226|247|230|125|294|204|248|155|276|72
7106,226|247|230|125|294|248|204|155|276|72
7118,226|247|230|125|294|204|248|155|276|72
7133,226|247|230|125|294|248|204|155|276|72
7153,226|247|230|125|294|204|155|276|72|213
7175,226|247|230|125|294|204|248|155|276|72
7180,226|247|230|125|294|204|248|155|276|72
7207,226|247|230|125|294|204|248|155|276|213
7228,226|247|230|125|294|204|248|155|276|72
7259,226|247|230|125|294|204|248|155|276|72
7274,226|247|230|125|294|248|204|155|276|72
7282,247|230|125|294|248|204|155|276|72|213
7286,226|247|230|125|294|248|204|155|276|72
7299,226|247|230|125|294|204|248|155|276|72
7326,226|247|230|125|294|248|204|155|276|72
7368,226|247|230|125|294|248|204|155|276|72
7394,226|247|230|125|294|204|248|155|276|72
7412,226|247|230|125|294|248|204|155|276|72
7443,226|247|230|125|294|248|204|155|276|72
7454,226|247|230|125|294|204|248|155|276|72
7455,226|247|230|125|294|204|248|155|276|72
7505,226|247|230|125|294|248|204|155|72|276
7510,226|247|230|125|294|204|248|155|276|213
7513,226|247|230|125|294|204|248|155|72|276
7515,226|247|230|125|294|204|248|155|276|213
7522,226|247|230|125|294|204|248|155|276|72
7551,226|247|230|125|294|204|248|155|276|72
7569,226|247|230|125|294|248|155|276|72|213
7601,226|247|230|125|294|204|248|155|276|72
7625,226|247|230|125|294|204|248|155|276|72
7650,226|247|230|125|294|204|248|155|276|72
7657,226|247|230|125|294|248|204|155|276|72
7706,226|247|230|125|294|204|248|155|276|72
7714,226|247|230|125|294|204|248|155|276|72
7722,226|247|230|125|294|204|248|155|276|72
7731,226|247|230|125|294|204|248|155|276|72
7755,226|247|230|125|294|204|248|155|276|213
7777,226|247|230|125|294|248|204|155|276|72
7786,226|247|230|125|294|204|248|155|276|72
7828,226|247|230|125|294|204|248|155|276|72
7846,226|247|230|125|294|204|248|155|276|72
7855,226|247|230|125|294|204|248|155|276|72
7869,226|247|230|125|294|204|248|155|276|72
7919,226|247|230|125|294|204|248|155|276|72
7951,226|247|230|125|294|204|248|155|276|72
7981,226|247|230|125|294|204|248|155|276|72
7988,226|247|230|125|294|204|248|155|276|72
7997,226|247|230|125|294|204|248|155|276|72
8046,226|247|230|125|294|204|248|155|276|72
8047,226|247|230|125|294|204|248|155|276|72
8099,226|247|230|125|294|204|248|155|276|72
8108,226|247|230|125|294|204|248|155|276|72
8111,226|247|230|125|294|204|248|155|72|276
8112,226|247|230|125|294|248|204|155|276|213
8157,226|247|230|125|294|248|204|155|276|72
8164,226|247|230|125|294|204|248|155|276|72
8207,226|247|230|125|294|248|204|155|276|72
8222,226|247|230|125|294|204|248|155|276|72
8230,226|247|230|125|294|204|248|155|276|72
8272,226|247|230|125|294|204|248|155|276|72
8291,226|247|230|125|294|248|204|155|276|72
8296,226|247|230|125|294|204|248|155|276|72
8323,226|247|230|125|294|204|248|155|276|72
8330,226|247|230|125|294|248|204|155|276|72
8339,226|247|230|125|294|204|248|155|276|72
8346,226|247|230|125|294|204|248|155|276|72
8423,226|247|230|125|294|248|204|155|276|72
8437,226|247|230|125|294|204|248|155|276|72
8475,226|247|230|125|294|204|248|155|276|72
8512,226|247|230|125|294|204|248|155|276|72
8540,226|247|230|125|294|248|204|155|276|72
8609,226|247|230|125|294|204|248|155|276|72
8619,247|230|125|294|204|248|155|276|72|213
8627,226|247|230|125|294|204|248|155|276|72
8734,226|247|230|125|294|204|248|155|276|72
8738,226|247|230|125|294|204|248|155|276|72
8808,226|247|230|125|294|204|248|155|276|72
8817,226|247|230|125|294|204|248|155|72|213
8838,226|247|230|125|294|204|248|155|276|72
8844,226|247|230|125|294|204|248|155|276|72
8865,226|247|125|294|248|204|155|276|72|213
8877,226|247|230|125|294|248|204|155|276|72
8907,226|247|230|125|294|204|248|155|276|72
8931,226|247|230|125|294|204|248|155|276|72
8947,226|247|230|125|294|204|248|155|276|72
9023,226|247|230|125|294|248|204|155|276|72
9051,226|247|230|125|294|204|248|155|276|72
9155,226|247|230|125|294|248|204|155|276|72
9166,226|247|230|125|294|204|248|155|276|72
9173,226|247|230|125|294|204|248|155|276|72
9194,247|230|125|294|204|248|155|276|72|213
9239,226|247|230|125|294|204|248|155|276|72
9282,226|247|230|125|294|204|248|155|276|72
9284,226|247|230|125|294|204|248|155|276|72
9398,226|247|230|125|294|248|204|155|276|72
9404,226|247|230|125|294|248|204|155|276|72
9405,226|247|230|125|294|204|248|155|276|72
9449,226|247|230|125|294|248|204|155|276|72
9472,226|247|230|125|294|248|204|155|276|72
9501,226|247|230|125|294|204|248|155|276|72
9524,226|247|230|125|294|204|248|155|276|72
9545,226|247|230|125|294|204|248|155|276|72
9552,226|247|230|125|294|248|204|155|276|72
9557,226|247|230|125|294|248|204|155|276|72
9565,226|247|230|125|294|248|204|155|276|72
9576,226|247|230|125|294|248|204|155|276|72
9578,226|247|230|125|294|204|248|155|276|72
9584,226|247|230|125|294|204|248|155|276|72
9612,226|247|230|125|294|204|248|155|276|72
9646,226|247|230|125|294|204|248|155|276|72
9648,226|247|230|125|294|248|204|155|276|72
9665,226|247|230|125|294|248|204|155|276|72
9668,226|247|230|125|294|248|204|155|276|72
9711,226|247|230|125|204|248|155|276|72|213
9720,226|247|230|125|294|204|248|155|276|72
9733,226|247|230|125|294|204|248|155|276|72
9796,226|247|230|125|294|248|204|155|276|72
9806,226|247|230|294|248|204|155|276|72|213
9831,226|247|230|125|294|248|204|155|276|213
9852,226|247|230|125|294|204|248|155|276|72
9873,226|247|230|125|294|204|248|155|276|72
9878,226|247|230|125|294|248|204|155|276|72
9889,226|247|230|125|294|248|204|155|276|72
9949,226|247|230|125|294|204|155|276|72|213
9954,226|247|230|125|294|204|248|155|276|72
9960,226|247|230|125|294|204|248|155|276|72
9961,226|247|230|125|294|248|204|155|276|213
9974,226|247|230|125|294|204|248|155|276|72
9978,226|247|230|125|294|204|248|155|276|72
10016,226|247|230|125|294|204|248|155|276|72
10018,226|247|230|125|294|204|248|155|276|72
10104,226|247|230|125|294|204|248|155|276|72
10159,226|247|230|125|294|204|248|155|72|276
10209,226|247|230|125|294|204|248|155|276|72
10222,226|247|230|125|294|204|248|155|276|72
10268,226|247|230|125|294|248|204|155|276|72
10269,226|247|230|125|294|204|248|155|276|72
10285,226|247|230|125|294|248|204|155|276|213
10382,226|247|230|125|294|204|248|155|276|72
10410,226|247|230|125|294|204|248|155|276|72
10444,226|247|230|294|248|204|155|276|72|213
10500,226|247|230|125|294|248|204|155|276|72
10526,226|247|230|125|294|204|248|155|276|72
10544,226|247|230|125|294|204|248|155|276|72
10545,226|247|230|125|294|204|248|155|276|72
10550,226|247|125|294|204|155|276|72|213|83
10656,226|247|230|125|294|248|204|155|276|213
10663,226|247|230|125|294|204|248|155|276|72
10688,226|247|230|125|294|204|248|155|276|72
10710,226|247|230|125|294|248|204|155|276|72
10748,226|247|230|125|294|248|204|155|276|72
10754,226|247|230|125|294|204|248|155|276|72
10820,226|247|230|125|294|204|248|155|276|72
10838,226|247|230|125|294|204|248|155|276|213
10844,226|247|230|125|294|248|204|155|276|72
10850,226|247|230|125|294|204|248|155|276|72
10871,226|247|230|125|294|204|248|155|276|72
10884,226|247|230|125|294|248|204|155|276|72
10921,226|247|230|125|294|204|248|155|276|72
10923,226|247|230|125|294|204|248|155|276|72
10948,226|247|230|125|294|204|248|155|276|72
10951,226|247|230|125|294|204|248|155|276|72
10973,226|247|230|125|294|248|204|155|276|72
10975,226|247|230|125|294|248|204|155|276|72
11013,226|247|230|125|294|204|248|155|276|72
11015,226|247|230|125|294|248|204|155|276|72
11081,226|247|230|125|294|248|204|155|276|72
11096,226|247|230|125|294|204|248|155|276|72
11102,226|247|230|125|294|204|248|155|276|72
11119,226|247|230|125|294|248|204|155|276|72
11122,226|230|125|294|204|248|155|276|72|213
11134,226|247|230|125|294|204|248|155|276|72
11167,226|247|230|125|294|204|248|155|276|72
11215,226|247|230|125|294|248|204|155|276|72
11281,226|247|230|125|294|204|248|155|276|72
11321,226|247|230|125|294|204|248|155|276|72
11330,226|247|230|125|294|204|248|155|276|72
11350,226|247|230|125|294|204|248|155|276|72
11379,226|247|230|125|294|204|248|155|276|72
11392,226|247|230|125|294|204|248|155|276|72
11397,226|247|230|125|294|204|248|155|276|72
11433,226|247|230|125|294|204|248|155|276|72
11459,226|247|230|125|294|248|204|155|276|72
11468,226|247|230|125|294|204|248|155|276|72
11489,226|247|230|125|294|248|204|155|276|72
11500,226|247|230|125|294|204|248|72|155|276
11523,226|247|230|125|294|248|204|155|276|72
11528,226|247|230|125|294|204|248|155|276|72
11555,226|247|230|125|294|248|204|155|276|72
11570,226|247|230|125|294|204|248|155|276|72
11591,226|247|230|125|294|204|248|155|276|72
11679,226|247|230|125|294|248|204|155|276|72
11744,226|247|230|125|294|248|204|155|276|72
11830,226|247|230|125|294|248|204|155|276|72
11837,226|247|230|125|294|204|248|155|276|72
11899,226|247|230|125|294|248|204|155|276|72
11932,226|247|230|125|294|204|248|155|276|72
11985,226|247|230|125|294|248|204|155|276|72
11995,226|247|230|125|294|204|248|155|276|72
12051,226|247|230|125|294|204|248|155|276|72
12096,226|247|230|125|294|204|248|155|276|72
12122,226|247|230|125|294|204|248|155|276|72
12142,226|247|230|125|294|204|248|155|276|72
12221,226|247|230|125|294|204|248|155|276|72
12225,226|247|230|125|294|248|204|155|276|72
12253,226|247|230|125|294|204|248|155|276|72
12278,226|247|125|294|204|248|155|276|72|213
12286,226|247|230|125|294|204|248|155|276|213
12321,226|247|230|125|294|204|248|155|276|213
12371,226|247|230|125|294|248|204|155|276|72
12422,226|247|230|125|294|204|248|155|276|72
12432,226|247|230|125|294|204|248|155|276|72
12448,226|247|230|125|294|204|248|155|276|72
12458,226|247|230|125|294|248|204|155|276|72
12464,226|247|230|125|294|204|248|155|276|72
12521,226|247|230|125|294|204|248|155|276|72
12525,226|247|230|125|294|204|248|155|276|72
12532,226|247|230|125|294|204|248|155|276|72
12535,226|247|230|125|294|248|204|155|276|72
12553,226|247|230|125|294|204|248|155|72|276
12577,226|247|230|125|294|248|204|155|276|72
12578,226|247|230|125|294|204|248|155|276|72
12590,226|247|230|125|294|204|248|155|276|72
12641,226|247|230|125|294|204|248|155|276|72
12683,226|247|230|125|294|248|204|155|276|72
12724,226|247|230|125|294|248|204|155|276|72
12735,226|247|230|125|294|248|204|155|276|72
12750,226|247|230|125|294|204|248|155|276|72
12768,226|247|230|125|294|248|204|155|276|72
12788,226|247|230|125|294|248|204|155|276|213
12836,226|247|125|294|248|204|155|276|72|213
12867,226|247|230|125|294|248|204|155|276|72
12894,226|247|230|125|294|204|248|155|276|72
12952,226|247|230|125|294|204|248|155|276|72
13039,226|247|230|125|294|204|248|155|276|72
13114,226|247|230|125|294|204|248|155|276|213
13132,226|247|230|125|294|248|204|155|276|72
13151,226|247|230|125|294|204|248|155|276|72
13167,226|247|230|125|294|204|248|155|276|72
